RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$48,070,014"
2,"LeBron James, SF",Los Angeles Lakers,"$44,474,988"
3,"Kevin Durant, PF",Phoenix Suns,"$44,119,845"
4,"Bradley Beal, SG",Washington Wizards,"$43,279,250"
5,"Damian Lillard, PG",Portland Trail Blazers,"$42,492,492"
6,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$42,492,492"
7,"Kawhi Leonard, SF",LA Clippers,"$42,492,492"
8,"Paul George, F",LA Clippers,"$42,492,492"
9,"Klay Thompson, SG",Golden State Warriors,"$40,600,080"
10,"Kyrie Irving, PG",Dallas Mavericks,"$38,917,057"
11,"Rudy Gobert, C",Minnesota Timberwolves,"$38,172,414"
12,"Anthony Davis, PF",Los Angeles Lakers,"$37,980,720"
13,"Khris Middleton, SF",Milwaukee Bucks,"$37,948,276"
14,"Jimmy Butler, SF",Miami Heat,"$37,653,300"
15,"Tobias Harris, PF",Philadelphia 76ers,"$37,633,050"
16,"Zach LaVine, SG",Chicago Bulls,"$37,096,500"
17,"Luka Doncic, PG",Dallas Mavericks,"$37,095,000"
18,"Trae Young, PG",Atlanta Hawks,"$37,095,000"
19,"Pascal Siakam, PF",Toronto Raptors,"$35,448,672"
20,"Ben Simmons, PG",Brooklyn Nets,"$35,448,672"
21,"Myles Turner, C",Indiana Pacers,"$35,096,500"
22,"Kristaps Porzingis, C",Washington Wizards,"$33,833,400"
23,"Devin Booker, SG",Phoenix Suns,"$33,833,400"
24,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$33,833,400"
25,"Jrue Holiday, PG",Milwaukee Bucks,"$33,665,040"
26,"Joel Embiid, C",Philadelphia 76ers,"$33,616,770"
27,"Andrew Wiggins, SF",Golden State Warriors,"$33,616,770"
28,"CJ McCollum, SG",New Orleans Pelicans,"$33,333,333"
29,"Nikola Jokic, C",Denver Nuggets,"$33,047,804"
30,"James Harden, SG",Philadelphia 76ers,"$33,000,000"
31,"Brandon Ingram, SF",New Orleans Pelicans,"$31,650,600"
32,"Jamal Murray, PG",Denver Nuggets,"$31,650,000"
33,"D'Angelo Russell, PG",Los Angeles Lakers,"$31,377,750"
34,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$30,913,750"
35,"Deandre Ayton, C",Phoenix Suns,"$30,913,750"
36,"Michael Porter Jr., SF",Denver Nuggets,"$30,913,750"
37,"Donovan Mitchell, SG",Cleveland Cavaliers,"$30,913,750"
38,"Bam Adebayo, C",Miami Heat,"$30,351,780"
39,"Gordon Hayward, SF",Charlotte Hornets,"$30,075,000"
40,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$28,946,605"
41,"Jaylen Brown, SG",Boston Celtics,"$28,741,071"
42,"Chris Paul, PG",Phoenix Suns,"$28,400,000"
43,"Kyle Lowry, PG",Miami Heat,"$28,333,334"
44,"De'Aaron Fox, PG",Sacramento Kings,"$28,103,550"
45,"Jayson Tatum, SF",Boston Celtics,"$28,103,500"
46,"Jalen Brunson, PG",New York Knicks,"$27,733,332"
47,"DeMar DeRozan, SF",Chicago Bulls,"$27,300,000"
48,"Al Horford, C",Boston Celtics,"$26,500,000"
49,"Draymond Green, PF",Golden State Warriors,"$25,806,468"
50,"Julius Randle, PF",New York Knicks,"$23,760,000"
51,"John Collins, PF",Atlanta Hawks,"$23,500,000"
52,"Buddy Hield, SG",Indiana Pacers,"$22,768,890"
53,"Mike Conley, PG",Minnesota Timberwolves,"$22,680,000"
54,"Malcolm Brogdon, PG",Boston Celtics,"$22,600,000"
55,"Anfernee Simons, SG",Portland Trail Blazers,"$22,321,429"
56,"Nikola Vucevic, C",Chicago Bulls,"$22,000,000"
57,"Terry Rozier, SG",Charlotte Hornets,"$21,486,283"
58,"Fred VanVleet, SG",Toronto Raptors,"$21,250,000"
59,"Jerami Grant, SF",Portland Trail Blazers,"$20,955,000"
60,"Mikal Bridges, SF",Brooklyn Nets,"$20,100,000"
61,"Jarrett Allen, C",Cleveland Cavaliers,"$20,000,000"
62,"Aaron Gordon, PF",Denver Nuggets,"$19,690,909"
63,"Tim Hardaway Jr., SF",Dallas Mavericks,"$19,602,273"
64,"Eric Gordon, SG",LA Clippers,"$19,568,360"
65,"Bojan Bogdanovic, SF",Detroit Pistons,"$19,550,000"
66,"Lonzo Ball, PG",Chicago Bulls,"$19,534,884"
67,"Spencer Dinwiddie, PG",Brooklyn Nets,"$19,500,000"
68,"Eric Bledsoe, SG",Portland Trail Blazers,"$19,375,000"
69,"Caris LeVert, SG",Cleveland Cavaliers,"$18,796,296"
70,"Clint Capela, C",Atlanta Hawks,"$18,706,896"
71,"Joe Harris, SF",Brooklyn Nets,"$18,642,857"
72,"Domantas Sabonis, PF",Sacramento Kings,"$18,500,000"
73,"Harrison Barnes, SF",Sacramento Kings,"$18,352,273"
74,"Evan Fournier, SG",New York Knicks,"$18,000,000"
75,"Bogdan Bogdanovic, SG",Atlanta Hawks,"$18,000,000"
76,"Steven Adams, C",Memphis Grizzlies,"$17,926,829"
77,"Gary Trent Jr., SG",Toronto Raptors,"$17,505,000"
78,"Jonathan Isaac, PF",Orlando Magic,"$17,400,000"
79,"O.G. Anunoby, SF",Toronto Raptors,"$17,357,143"
80,"Marcus Smart, PG",Boston Celtics,"$17,207,141"
81,"Mitchell Robinson, C",New York Knicks,"$17,045,454"
